BMI,PFSH,PMSH,PSSH
0.00,0,-1,4
0.01,0,0,5
0.02,0,0,5
0.03,0,-1,4
0.04,-1,-1,4
0.05,-1,-1,4
0.06,-1,0,3
0.07,-1,-1,4
0.08,-1,0,4
0.09,-1,0,3
0.10,0,-1,4
0.11,-1,-1,4
0.12,-1,-1,4
0.13,-1,-1,4
0.14,-1,-1,4
0.15,-1,0,4
0.16,-1,-1,4
0.17,-1,-1,4
0.18,-1,-1,4
0.19,-1,-1,4
0.20,-1,-1,4
0.21,-1,-1,4
0.22,0,-1,4
0.23,-1,-1,4
0.24,-1,-1,4
0.25,-1,-1,4
0.26,-1,-1,4
0.27,-1,-1,4
0.28,-1,-1,4
0.29,-1,0,4
0.30,-1,-1,4
0.31,-1,-1,4
0.32,-1,-1,4
0.33,-1,0,4
0.34,-1,-1,4
0.35,-1,-1,4
0.36,0,0,3
0.37,0,0,4
0.38,-1,-1,4
0.39,-1,1,3
0.40,0,0,4
0.41,0,0,4
0.42,0,0,5
0.43,0,0,2
0.44,0,0,2
0.45,0,-1,3
0.46,0,0,4
0.47,-1,-1,4
0.48,0,0,4
0.49,-1,1,2
0.50,0,0,3
0.51,0,-1,3
0.52,0,1,3
0.53,0,0,3
0.54,0,0,4
0.55,0,0,3
0.56,0,0,3
0.57,0,2,3
0.58,0,1,3
0.59,0,0,3
0.60,0,0,2
0.61,-1,0,4
0.62,0,2,3
0.63,0,0,3
0.64,0,1,3
0.65,0,0,2
0.66,0,1,1
0.67,0,1,2
0.68,0,0,4
0.69,0,2,2
0.70,0,2,2
0.71,0,1,2
0.72,0,0,1
0.73,0,0,4
0.74,0,1,3
0.75,0,3,2
0.76,0,0,3
0.77,0,2,3
0.78,0,1,2
0.79,0,2,3
0.80,0,2,3
0.81,0,2,4
0.82,0,0,4
0.83,0,3,2
0.84,0,2,3
0.85,0,3,2
0.86,0,3,2
0.87,0,2,3
0.88,0,4,3
0.89,0,3,2
0.90,0,1,2
0.91,1,4,4
0.92,1,3,3
0.93,1,3,3
0.94,0,4,4
0.95,0,3,3
0.96,0,2,2
0.97,1,2,2
0.98,0,4,4
0.99,0,4,4
1.00,0,4,3
1.01,1,4,3
1.02,1,4,3
1.03,0,2,1
1.04,1,3,3
1.05,1,3,2
1.06,0,3,2
1.07,1,2,3
1.08,1,3,2
1.09,0,3,2
1.10,1,4,4
1.11,1,2,1
1.12,1,2,2
1.13,1,4,3
1.14,0,1,1
1.15,1,0,2
1.16,0,1,3
1.17,1,3,2
1.18,1,4,4
1.19,1,4,2
1.20,1,4,4
1.21,1,2,2
1.22,1,3,2
1.23,1,4,3
1.24,1,3,3
1.25,1,4,3
1.26,1,4,3
1.27,1,3,3
1.28,1,4,2
1.29,1,4,3
1.30,1,4,3
1.31,1,4,4
1.32,1,4,4
1.33,1,4,4
1.34,1,4,4
1.35,1,4,4
1.36,0,3,2
1.37,1,3,1
1.38,1,4,4
1.39,2,3,3
1.40,1,4,4
1.41,1,4,4
1.42,2,3,1
1.43,1,3,2
1.44,1,4,3
1.45,2,3,1
1.46,2,3,1
1.47,2,3,2
1.48,1,4,3
1.49,0,3,3
1.50,1,3,2
1.51,1,4,4
1.52,1,4,2
1.53,2,3,1
1.54,1,4,4
1.55,2,3,2
1.56,2,3,1
1.57,2,4,4
1.58,2,4,1
1.59,2,3,1
1.60,3,3,1
1.61,2,3,1
1.62,2,4,1
1.63,2,3,2
1.64,2,3,1
1.65,3,3,1
1.66,2,4,2
1.67,2,2,1
1.68,2,4,3
1.69,2,3,1
1.70,2,3,1
1.71,1,5,2
1.72,2,5,2
1.73,2,5,3
1.74,2,3,1
1.75,3,4,2
1.76,2,4,2
1.77,3,4,2
1.78,2,4,0
1.79,2,5,2
1.80,2,5,3
1.81,2,5,3
1.82,2,4,0
1.83,1,4,2
1.84,2,5,3
1.85,3,4,0
1.86,3,3,1
1.87,2,4,1
1.88,3,4,1
1.89,3,4,0
1.90,3,4,0
1.91,3,4,0
1.92,3,4,0
1.93,3,3,1
1.94,2,4,0
1.95,3,4,1
1.96,3,3,1
1.97,2,5,3
1.98,3,4,2
1.99,3,5,2
2.00,3,5,3
2.01,2,4,1
2.02,3,5,3
2.03,3,4,3
2.04,3,4,2
2.05,3,5,3
2.06,3,4,2
2.07,3,3,-1
2.08,3,4,1
2.09,2,3,3
2.10,3,3,0
2.11,3,2,2
2.12,3,3,0
2.13,3,4,1
2.14,3,3,-1
2.15,3,3,-1
2.16,2,4,0
2.17,3,4,0
2.18,3,4,1
2.19,3,4,0
2.20,2,4,2
2.21,1,3,2
2.22,4,3,-1
2.23,3,4,1
2.24,3,4,1
2.25,3,3,0
2.26,3,4,1
2.27,3,4,1
2.28,3,3,-1
2.29,3,3,-1
2.30,3,3,-1
2.31,3,3,0
2.32,2,4,0
2.33,2,4,0
2.34,2,4,0
2.35,3,4,0
2.36,3,4,0
2.37,3,4,0
2.38,3,4,0
2.39,3,4,-1
2.40,3,4,-1
2.41,2,4,1
2.42,2,4,1
2.43,2,4,1
2.44,3,3,-1
2.45,3,3,-1
2.46,3,3,-1
2.47,3,3,-1
2.48,3,3,-1
2.49,3,3,-1
2.50,3,3,-1
2.51,3,4,0
2.52,3,4,-1
2.53,3,3,1
2.54,2,5,3
2.55,3,4,1
2.56,3,3,-1
2.57,3,3,-1
2.58,3,3,1
2.59,3,3,1
2.60,3,3,1
2.61,3,3,-1
2.62,4,3,-1
2.63,4,3,-1
2.64,2,5,1
2.65,4,3,-1
2.66,4,3,-1
2.67,4,3,-1
2.68,3,3,-1
2.69,3,3,-1
2.70,3,3,-1
2.71,3,3,-1
2.72,3,3,-1
2.73,3,3,-1
2.74,3,3,-1
2.75,3,3,-1
2.76,3,3,-1
2.77,3,3,-1
2.78,3,4,-1
2.79,3,4,-1
2.80,3,4,-1
2.81,3,4,-1
2.82,3,4,-1
2.83,4,4,-1
2.84,4,4,-1
2.85,4,4,-1
2.86,4,4,-1
2.87,4,4,-1
2.88,4,4,-1
2.89,4,4,-1
2.90,4,4,-1
2.91,4,4,-1
2.92,4,4,-1
2.93,4,4,-1
2.94,4,4,-1
2.95,4,4,-1
2.96,4,4,-1
2.97,4,4,-1
2.98,5,4,-1
2.99,5,4,-1
3.00,5,4,-1
3.01,5,4,-1
3.02,5,4,-1
3.03,5,4,-1
3.04,5,4,-1
3.05,5,4,-1
3.06,5,4,-1
3.07,5,4,-1
3.08,5,4,-1
3.09,5,4,-1
3.10,5,4,-1
3.11,5,4,-1
3.12,5,4,-1
3.13,5,4,-1
3.14,5,4,-1
3.15,5,4,-1
