PLDH,PLDL,PPOS,CAWT,KAWT,TAWT,PBWT,RBWT,ACWT,AGWT,TKWT,INWT,KPWT,SPWT,TPWT,BTWT,CTWT,STWT,JUWT,AWWT
92,35,0,0,0,30,0,0,6,6,0,0,0,14,26,0,0,0,0,20
93,35,1,10,0,0,2,0,18,18,0,0,0,25,0,15,5,2,0,5
80,35,2,2,0,0,1,8,2,1,0,0,0,2,0,2,6,2,0,3
96,35,3,0,0,0,0,0,10,10,0,0,0,25,0,5,30,0,5,5
85,35,4,0,0,0,1,3,2,2,0,0,0,4,0,1,5,3,0,3
95,35,5,0,0,0,6,5,1,1,0,0,0,1,0,0,0,4,0,4
91,35,6,0,0,0,4,6,2,1,0,0,0,2,0,0,0,4,0,4
91,35,7,0,0,0,4,6,2,1,0,0,0,2,0,0,0,4,0,4
91,35,8,0,0,0,4,6,2,1,0,0,0,2,0,0,0,4,0,4
95,35,9,0,0,0,6,5,1,1,0,0,0,1,0,0,0,4,0,4
89,35,10,0,0,0,0,0,10,8,20,0,0,25,0,0,0,30,0,17
89,35,11,0,0,0,0,0,10,8,20,0,0,25,0,0,0,30,0,17
89,35,12,0,0,0,0,0,3,1,5,0,0,2,0,0,0,6,0,4
89,35,13,0,0,0,0,0,1,2,4,0,0,3,0,0,1,2,0,3
92,35,14,0,0,0,0,0,7,7,20,0,0,25,0,0,0,15,0,26
89,35,15,0,0,0,0,0,1,2,4,0,0,3,0,0,1,2,0,3
91,35,16,0,0,0,0,0,4,4,2,0,0,5,0,0,2,1,2,5
88,35,17,0,0,0,0,0,3,2,3,0,0,4,0,0,2,1,2,6
87,35,18,0,0,0,0,0,2,2,4,0,0,4,0,0,2,2,1,6
96,60,19,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1
95,60,20,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1
